"ï»¿""Crop""",State,Season,Area-2021-22,Area-2022-23,Area-2023-24,Area-2024-25,Area-2025-26,Production-2021-22,Production-2022-23,Production-2023-24,Production-2024-25,Production-2025-26,Yield-2021-22,Yield-2022-23,Yield-2023-24,Yield-2024-25,Yield-2025-26
Rice,Andaman And Nicobar Islands,Kharif,0.06,0.05,0.05,0.04,,0.13,0.11,0.1,0.09,,2133,2107,2100,2060,
Rice,Andaman And Nicobar Islands,Rabi,,,,,,0,,,,,,,,,
Rice,Andaman And Nicobar Islands,Total,0.06,0.05,0.05,0.04,,0.13,0.11,0.1,0.09,,2133,2107,2100,2060,
Rice,Andhra Pradesh,Kharif,15.08,14.52,13.47,14.04,14.77,43.26,49.86,46.95,50.31,52.92,2869,3434,3485,3583,3583
Rice,Andhra Pradesh,Rabi,7.81,6.77,5.73,6.73,,34.37,29.56,26.46,31.29,,4401,4366,4616,4649,
Rice,Andhra Pradesh,Total,22.89,21.29,19.21,20.77,14.77,77.64,79.42,73.42,81.59,52.92,3392,3730,3822,3928,3583
Rice,Arunachal Pradesh,Kharif,1.36,1.36,1.37,1.37,,2.51,2.53,2.54,2.55,,1852,1857,1858,1859,
Rice,Arunachal Pradesh,Rabi,0.01,0.01,0.01,0,,0.01,0.01,0.01,0,,1343,1345,1347,449,
Rice,Arunachal Pradesh,Total,1.36,1.37,1.37,1.38,,2.52,2.54,2.55,2.56,,1849,1854,1856,1856,
Rice,Assam,Kharif,19.83,19.43,19.18,18.21,18.15,35.38,45.18,43.74,37.6,39.35,1784,2326,2281,2065,2168
Rice,Assam,Rabi,3.7,,,,,8.44,,,,,2281,,,,
Rice,Assam,Summer,,3.75,3.78,3.82,,,11.06,11.64,11.42,,,2949,3080,2986,
Rice,Assam,Total,23.53,23.18,22.96,22.03,18.15,43.82,56.24,55.39,49.01,39.35,1862,2426,2413,2225,2168
Rice,Bihar,Kharif,30.37,28.09,30.5,31.84,32.26,75.72,68.73,77.29,81.42,82.49,2493,2447,2534,2557,2557
Rice,Bihar,Rabi,0.54,,,,,1.45,,,,,2682,,,,
Rice,Bihar,Summer,,0.54,0.6,0.58,,,1.5,1.73,1.6,,,2778,2888,2769,
Rice,Bihar,Total,30.91,28.63,31.1,32.42,32.26,77.17,70.23,79.02,83.02,82.49,2496,2453,2541,2561,2557
Rice,Chandigarh,Kharif,0,0,0,0,,0,0,0,0,,5500,3950,4979,3667,
Rice,Chandigarh,Rabi,0,,,,,0,,,,,0,,,,
Rice,Chandigarh,Total,0,0,0,0,,0,0,0,0,,5500,3950,4979,3667,
Rice,Chhattisgarh,Kharif,37.59,37.71,38.22,39.05,36.11,80.22,98.12,97.03,103.68,89.17,2134,2602,2539,2655,2469
Rice,Chhattisgarh,Rabi,,,,,,0,,,,,,,,,
Rice,Chhattisgarh,Total,37.59,37.71,38.22,39.05,36.11,80.22,98.12,97.03,103.68,89.17,2134,2602,2539,2655,2469
Rice,Dadra And Nagar Haveli,Kharif,0.16,0.17,0.17,0.16,,0.33,0.36,0.36,0.33,,2069,2073,2068,2068,
Rice,Dadra And Nagar Haveli,Rabi,0,,,,,0,,,,,0,,,,
Rice,Dadra And Nagar Haveli,Total,0.16,0.17,0.17,0.16,,0.33,0.36,0.36,0.33,,2069,2073,2068,2068,
Rice,Daman And Diu,Kharif,0.01,,,,,0.03,,,,,1936,,,,
Rice,Daman And Diu,Rabi,0,,,,,0,,,,,0,,,,
Rice,Daman And Diu,Total,0.01,,,,,0.03,,,,,1936,,,,
Rice,Delhi,Kharif,0.06,0.06,0.06,0.05,,0.19,0.17,0.17,0.15,,3106,3067,3067,2800,
Rice,Delhi,Rabi,0,,,,,0,,,,,0,,,,
Rice,Delhi,Total,0.06,0.06,0.06,0.05,,0.19,0.17,0.17,0.15,,3106,3067,3067,2800,
Rice,Goa,Kharif,0.23,0.23,0.23,0.24,,0.66,0.63,0.68,0.52,,2816,2789,2890,2171,
Rice,Goa,Rabi,0.09,0.09,0.09,0.09,,0.25,0.25,0.27,0.25,,2742,2842,2983,2832,
Rice,Goa,Total,0.32,0.32,0.32,0.33,,0.9,0.88,0.95,0.77,,2795,2804,2916,2348,
Rice,Gujarat,Kharif,8.18,8.68,8.73,8.86,8.92,18.85,21.66,21.38,20.94,22.26,2304,2496,2449,2362,2495
Rice,Gujarat,Rabi,0.74,,,,,2.16,,,,,2924,,,,
Rice,Gujarat,Summer,,0.79,0.95,1.28,,,2.3,2.69,3.51,,,2899,2816,2738,
Rice,Gujarat,Total,8.92,9.47,9.69,10.14,8.92,21.01,23.96,24.07,24.45,22.26,2355,2530,2485,2410,2495
Rice,Haryana,Kharif,12.81,15.2,15.63,16.09,17.26,46.18,51.09,59.76,60.6,63.71,3605,3362,3822,3766,3691
Rice,Haryana,Rabi,,,,,,0,,,,,,,,,
Rice,Haryana,Total,12.81,15.2,15.63,16.09,17.26,46.18,51.09,59.76,60.6,63.71,3605,3362,3822,3766,3691
Rice,Himachal Pradesh,Kharif,0.66,0.67,0.7,0.68,0.68,1.68,1.31,1.73,1.42,1.48,2532,1942,2474,2080,2165
Rice,Himachal Pradesh,Rabi,,,,,,0,,,,,,,,,
Rice,Himachal Pradesh,Total,0.66,0.67,0.7,0.68,0.68,1.68,1.31,1.73,1.42,1.48,2532,1942,2474,2080,2165
Rice,Jammu And Kashmir,Kharif,2.69,2.74,2.58,2.58,,4.93,6.04,6.41,6.41,,1834,2202,2482,2482,
Rice,Jammu And Kashmir,Rabi,0,,,,,0,,,,,0,,,,
Rice,Jammu And Kashmir,Total,2.69,2.74,2.58,2.58,,4.93,6.04,6.41,6.41,,1834,2202,2482,2482,
Rice,Jharkhand,Kharif,14.45,8.55,11,14.69,16.98,29.3,14.94,15.16,27.83,31.77,2028,1747,1378,1894,1871
Rice,Jharkhand,Rabi,,,,,,0,,,,,,,,,
Rice,Jharkhand,Total,14.45,8.55,11,14.69,16.98,29.3,14.94,15.16,27.83,31.77,2028,1747,1378,1894,1871
Rice,Karnataka,Kharif,10.08,9.46,8.49,8.86,9.11,31.22,31.63,28.23,30.08,30.56,3097,3344,3325,3395,3355
Rice,Karnataka,Rabi,3.9,0.92,0.43,0.41,,11.97,2.42,1.16,1.17,,3069,2633,2694,2842,
Rice,Karnataka,Summer,,2.9,0.61,2.54,,,8.74,1.89,8.24,,,3016,3093,3245,
Rice,Karnataka,Total,13.98,13.28,9.53,11.81,9.11,43.18,42.8,31.27,39.49,30.56,3089,3223,3282,3344,3355
Rice,Kerala,Kharif,1.5,0.5,0.45,0.41,0.37,3.42,1.37,1.16,1.1,1.06,2274,2716,2593,2651,2896
